"artist_name","track_name","album_name","danceability","lyric"
"Taylor Swift","my tears ricochet","folklore",0.456,"Crossing out the good years"
"Taylor Swift","my tears ricochet","folklore",0.456,"And you're cursing my name, wishing I stayed"
"Taylor Swift","my tears ricochet","folklore",0.456,"Look at how my tears ricochet"
"Taylor Swift","mirrorball","folklore",0.553,NA
"Taylor Swift","seven","folklore",0.596,NA
"Taylor Swift","august","folklore",0.532,"Salt air, and the rust on your door"
"Taylor Swift","august","folklore",0.532,"I never needed anything more"
"Taylor Swift","august","folklore",0.532,"Whispers of ""Are you sure?"""
"Taylor Swift","august","folklore",0.532,"""Never have I ever before"""
"Taylor Swift","august","folklore",0.532,"But I can see us lost in the memory"
"Taylor Swift","august","folklore",0.532,"August slipped away into a moment in time'Cause it was never mine"
"Taylor Swift","august","folklore",0.532,"And I can see us twisted in bedsheets"
"Taylor Swift","august","folklore",0.532,"August sipped away like a bottle of wine'Cause you were never mine"
"Taylor Swift","august","folklore",0.532,"Your back beneath the sun"
"Taylor Swift","august","folklore",0.532,"Wishin' I could write my name on it"
"Taylor Swift","august","folklore",0.532,"Will you call when you're back at school?"
"Taylor Swift","august","folklore",0.532,"I remember thinkin' I had you"
"Taylor Swift","august","folklore",0.532,"But I can see us lost in the memory"
"Taylor Swift","august","folklore",0.532,"August slipped away into a moment in time'Cause it was never mine"
"Taylor Swift","august","folklore",0.532,"And I can see us twisted in bedsheets"
"Taylor Swift","august","folklore",0.532,"August sipped away like a bottle of wine'Cause you were never mine"
"Taylor Swift","august","folklore",0.532,"Back when we were still changin' for the better"
"Taylor Swift","august","folklore",0.532,"Wanting was enough"
"Taylor Swift","august","folklore",0.532,"For me, it was enough"
"Taylor Swift","august","folklore",0.532,"To live for the hope of it all"
"Taylor Swift","august","folklore",0.532,"Cancel plans just in case you'd call"
"Taylor Swift","august","folklore",0.532,"And say, ""Meet me behind the mall""So much for summer love and saying ""us"""
"Taylor Swift","august","folklore",0.532,"'Cause you weren't mine to lose"
"Taylor Swift","august","folklore",0.532,"You weren't mine to lose, no"
"Taylor Swift","august","folklore",0.532,"But I can see us lost in the memory"
"Taylor Swift","august","folklore",0.532,"August slipped away into a moment in time'Cause it was never mine"
"Taylor Swift","august","folklore",0.532,"And I can see us twisted in bedsheets"
"Taylor Swift","august","folklore",0.532,"August sipped away like a bottle of wine'Cause you were never mine"
"Taylor Swift","august","folklore",0.532,"'Cause you were never mine"
"Taylor Swift","august","folklore",0.532,"Never mine"
"Taylor Swift","august","folklore",0.532,"But do you remember?"
"Taylor Swift","august","folklore",0.532,"Remember when I pulled up and said ""Get in the car"""
"Taylor Swift","august","folklore",0.532,"And then canceled my plans just in case you'd call?"
"Taylor Swift","august","folklore",0.532,"Back when I was livin' for the hope of it all, for the hope of it all"
"Taylor Swift","august","folklore",0.532,"""Meet me behind the mall"""
"Taylor Swift","august","folklore",0.532,"(Remember when I pulled up and said ""Get in the car"")"
"Taylor Swift","august","folklore",0.532,"(And then canceled my plans just in case you'd call?)"
"Taylor Swift","august","folklore",0.532,"(Back when I was livin' for the hope of it all, for the hope of it all)"
"Taylor Swift","august","folklore",0.532,"(""Meet me behind the mall"")"
"Taylor Swift","august","folklore",0.532,"Remember when I pulled up and said ""Get in the car"""
"Taylor Swift","august","folklore",0.532,"And then canceled my plans just in case you'd call?"
"Taylor Swift","august","folklore",0.532,"Back when I was livin' for the hope of it all (For the hope of it all)"
"Taylor Swift","august","folklore",0.532,"For the hope of it all, for the hope of it all"
"Taylor Swift","august","folklore",0.532,"(For the hope of it all, for the hope of it all)"
"Taylor Swift","this is me trying","folklore",0.515,"I've been having a hard time adjusting"
"Taylor Swift","this is me trying","folklore",0.515,"I had the shiniest wheels, now they're rusting"
"Taylor Swift","this is me trying","folklore",0.515,"I didn't know if you'd care if I came back"
"Taylor Swift","this is me trying","folklore",0.515,"I have a lot of regrets about that"
"Taylor Swift","this is me trying","folklore",0.515,"Pulled the car off the road to the lookout"
"Taylor Swift","this is me trying","folklore",0.515,"Could've followed my fears all the way down"
"Taylor Swift","this is me trying","folklore",0.515,"And maybe I don't quite know what to say"
"Taylor Swift","this is me trying","folklore",0.515,"But I'm here in your doorway"
"Taylor Swift","this is me trying","folklore",0.515,"I just wanted you to know that this is me trying"
"Taylor Swift","this is me trying","folklore",0.515,"I just wanted you to know that this is me trying"
"Taylor Swift","this is me trying","folklore",0.515,"They told me all of my cages were mental"
"Taylor Swift","this is me trying","folklore",0.515,"So I got wasted like all my potential"
"Taylor Swift","this is me trying","folklore",0.515,"And my words shoot to kill when I'm mad"
"Taylor Swift","this is me trying","folklore",0.515,"I have a lot of regrets about that"
"Taylor Swift","this is me trying","folklore",0.515,"I was so ahead of the curve, the curve became a sphere"
"Taylor Swift","this is me trying","folklore",0.515,"Fell behind all my classmates and I ended up here"
"Taylor Swift","this is me trying","folklore",0.515,"Pouring out my heart to a stranger"
"Taylor Swift","this is me trying","folklore",0.515,"But I didn't pour the whiskey"
"Taylor Swift","this is me trying","folklore",0.515,"I just wanted you to know that this is me trying"
"Taylor Swift","this is me trying","folklore",0.515,"I just wanted you to know that this is me trying"
"Taylor Swift","this is me trying","folklore",0.515,"At least I'm trying"
"Taylor Swift","this is me trying","folklore",0.515,"And it's hard to be at a party when I feel like an open wound"
"Taylor Swift","this is me trying","folklore",0.515,"It's hard to be anywhere these days when all I want is you"
"Taylor Swift","this is me trying","folklore",0.515,"You're a flashback in a film reel on the one screen in my town"
"Taylor Swift","this is me trying","folklore",0.515,"And I just wanted you to know that this is me trying"
"Taylor Swift","this is me trying","folklore",0.515,"(And maybe I don't quite know what to say)"
"Taylor Swift","this is me trying","folklore",0.515,"I just wanted you to know that this is me trying"
"Taylor Swift","this is me trying","folklore",0.515,"At least I'm trying"
"Taylor Swift","illicit affairs","folklore",0.559,"Make sure nobody sees you leave"
"Taylor Swift","illicit affairs","folklore",0.559,"Hood over your head, keep your eyes down"
"Taylor Swift","illicit affairs","folklore",0.559,"Tell your friends you're out for a run"
"Taylor Swift","illicit affairs","folklore",0.559,"You'll be flushed when you return"
"Taylor Swift","illicit affairs","folklore",0.559,"Take the road less traveled by"
"Taylor Swift","illicit affairs","folklore",0.559,"Tell yourself you can always stop"
"Taylor Swift","illicit affairs","folklore",0.559,"What started in beautiful rooms"
"Taylor Swift","illicit affairs","folklore",0.559,"Ends with meetings in parking lots"
"Taylor Swift","illicit affairs","folklore",0.559,"And that's the thing about illicit affairs"
"Taylor Swift","illicit affairs","folklore",0.559,"And clandestine meetings and longing stares"
"Taylor Swift","illicit affairs","folklore",0.559,"It's born from just one single glance"
"Taylor Swift","illicit affairs","folklore",0.559,"But it dies and it dies and it dies"
"Taylor Swift","illicit affairs","folklore",0.559,"A million little times"
"Taylor Swift","illicit affairs","folklore",0.559,"Leave the perfume on the shelf"
