"Program","Network","Rank","Rating","Year"
"CBS Sunday Movie","CBS",24,11.4,1995
"Can't Hurry Love","CBS",24,11.4,1995
"Touched by an Angel","CBS",10,13.6,1996
"60 Minutes","CBS",11,13.3,1996
"CBS Sunday Movie","CBS",14,12.1,1996
"Cosby","CBS",21,11.2,1996
"Walker, Texas Ranger","CBS",23,11,1996
"Chicago Hope","CBS",30,10.5,1996
"Cybill","CBS",30,10.5,1996
"Touched by an Angel","CBS",6,14.2,1997
"60 Minutes","CBS",7,13.8,1997
"CBS Sunday Movie","CBS",9,13.1,1997
"Diagnosis: Murder","CBS",22,9.8,1997
"Cosby","CBS",25,9.5,1997
"Walker, Texas Ranger","CBS",28,9.3,1997
"Everybody Loves Raymond","CBS",30,9.2,1997
"60 Minutes","CBS",7,13.2,1998
"Touched by an Angel","CBS",8,13.1,1998
"CBS Sunday Movie","CBS",9,12,1998
"Everybody Loves Raymond","CBS",11,10.6,1998
"JAG","CBS",16,9.8,1998
"Becker","CBS",19,9.7,1998
"Walker, Texas Ranger","CBS",25,9.2,1998
"60 Minutes II","CBS",30,9,1998
"Diagnosis: Murder","CBS",30,9,1998
"60 Minutes","CBS",8,12,1999
"Touched by an Angel","CBS",10,11.6,1999
"Everybody Loves Raymond","CBS",12,11.4,1999
"CBS Sunday Movie","CBS",14,10.9,1999
"Becker","CBS",18,10.4,1999
"Judging Amy","CBS",19,10.2,1999
"JAG","CBS",20,9.7,1999
"60 Minutes II","CBS",23,9.3,1999
"Family Law","CBS",27,9,1999
"CBS Wednesday Movie","CBS",30,8.8,1999
"Survivor","CBS",1,17.4,2000
"Everybody Loves Raymond","CBS",5,12.6,2000
"CSI: Crime Scene Investigation","CBS",11,11.6,2000
"60 Minutes","CBS",15,11.1,2000
"Becker","CBS",16,10.9,2000
"Judging Amy","CBS",21,9.9,2000
"Touched by an Angel","CBS",22,9.7,2000
"JAG","CBS",26,9.2,2000
"The King of Queens","CBS",27,8.9,2000
"Yes, Dear","CBS",28,8.7,2000
"Family Law","CBS",29,8.6,2000
"The District","CBS",29,8.6,2000
